category;item;alternatives
Aufbewahrung;Kleiderschrank;Schrank
Aufbewahrung;Safe;Tresor
Aufbewahrung;Schachtel;Kiste
Aufbewahrung;Schachtel;Box
Aufbewahrung;Schachtel;Kasten
Aufbewahrung;Schachtel;Karton
Aufbewahrung;Schachtel;Schuhbox
Aufbewahrung;Schublade;Schubkasten
Bauernhof;Axt;Beil
Bauernhof;Besen;Strohbesen
Bauernhof;Säge;Handsäge
Bauernhof;Schaufel;Spaten
Bauernhof;Schaufel;Schippe
Bauernhof;Sense;Sichel
Buero;Bleistift;Stift
Buero;Klammer;Paperclip
Buero;Klammer;Büroklammer
Buero;Klammer;Clip
Buero;Klammer;Briefklammer
Buero;Lineal;Zollstock
Buero;Radiergummi;Radierer
Filler;Badewanne;Wanne
Filler;Ball;Fußball
Filler;Briefkasten;Postkasten
Filler;Briefkasten;Postfach
Filler;Briefmarke;Postmarke
Filler;Bürste;Haarbürste
Filler;Fenster;Fensterladen
Filler;Fernglas;Fernrohr
Filler;Glocke;Klingel
Filler;Käfig;Hamsterkäfig
Filler;Käfig;Meerschweinchenkäfig
Filler;Kamera;Fotoapparat
Filler;Kassette;Mixtape
Filler;Kopfhörer;Headset
Filler;Kopfkissen;Kissen
Filler;Luftballon;Ballon
Filler;Mülleimer;Mülltonne
Filler;Schornstein;Der Kamin
Filler;Schornstein;Kamin
Filler;Spaghetti;Nudeln
Filler;Spaghetti;Pasta
Filler;Teppich;Orientteppich
Filler;Ventilator;Lüfter
Fische;Aal;Al
Fische;Goldfisch;Fisch
Fische;Hai;Haifisch
Fische;Rochen;Mantarochen
Fische;Rochen;Manta
Gebaeude;Burg;Schloss
Gebaeude;Hochhaus;Wolkenkratzer
Gebaeude;Schloss;Palast
Gebaeude;Schloss;Burg
Gebaeude;Tempel;Pantheon
Gebaeude;Tempel;Ruine
Gebaeude;Tempel;Akropolis
Gemuese;Gurke;Salatgurke
Gemuese;Karotte;Möhre
Gemuese;Paprika;Grüne Paprika
Heimwerker;Bohrmaschine;Bohrer
Heimwerker;Bohrmaschine;Akkuschrauber
Heimwerker;Feile;Reibe
Heimwerker;Feile;Spachtel
Heimwerker;Feile;Hobel
Heimwerker;Schraubenzieher;Schraubenschlüssel
Heimwerker;Schraubenzieher;Schraubendreher
Huftiere;Schaf;Lamm
Insekten;Biene;Bienchen
Insekten;Fliege;Mücke
Insekten;Marienkäfer;Käfer
