"","subject","trial","item","category","supercategory","PosOr","word","letters.01","timing.01"
"1",1,1,"arztkittel","Jacken","Kleidung",1,"ARZTKITTELEnter","A",1436
"2",1,2,"gurke","Gemüse","Lebensmittel",1,"GURKEEnter","G",903
"3",1,3,"axt","Bauernhof","Werkzeug",1,"AXRBackspaceTEnter","A",1271
"4",1,4,"kapuzenpulli","Jacken","Kleidung",2,"KAPUZENPULLIEnter","K",1872
"5",1,5,"kartoffel","Gemüse","Lebensmittel",2,"KARTOFFELEnter","K",1263
"6",1,6,"ball","Filler","Filler",1,"BAÖLBackspaceBackspaceLLEnter","B",925
"7",1,7,"sakko","Jacken","Kleidung",3,"SAKKOEnter","S",2205
"8",1,8,"säge","Bauernhof","Werkzeug",2,"SÄGEEnter","S",1338
"9",1,9,"mikrofon","Filler","Filler",2,"MIKROFONEnter","M",952
"10",1,10,"daunenweste","Jacken","Kleidung",4,"WESTEEnter","W",1751
"11",1,11,"sense","Bauernhof","Werkzeug",3,"SENSEEnter","S",1241
"12",1,12,"brokkoli","Gemüse","Lebensmittel",3,"BROKKOLIEnter","B",927
"13",1,13,"pelzmantel","Jacken","Kleidung",5,"PELZMANTELEnter","P",2347
"14",1,14,"besen","Bauernhof","Werkzeug",4,"BESENEnter","B",963
"15",1,15,"tafel","Filler","Filler",3,"TAFEBackspaceELEnter","T",1170
"16",1,16,"karotte","Gemüse","Lebensmittel",4,"KAROTTEEnter","K",950
"17",1,17,"schaufel","Bauernhof","Werkzeug",5,"SCHAUFELEnter","S",799
"18",1,18,"schornstein","Filler","Filler",4,"SCHORNSTEINEnter","S",847
"19",1,19,"käfig","Filler","Filler",5,"KÄFIGEnter","K",1226
"20",1,20,"paprika","Gemüse","Lebensmittel",5,"PAPRIKEBackspaceAEnter","P",1044
"21",1,21,"schublade","Aufbewahrung","Möbel",1,"SCHUBLADEEnter","S",772
"22",1,22,"hai","Fische","Tiere",1,"HAIEnter","H",1035
"23",1,23,"cd","Filler","Filler",1,"CDEnter","C",1186
"24",1,24,"bus","Strasse","Fortbewegungsmittel",1,"BUSEnter","B",951
"25",1,25,"aal","Fische","Tiere",2,"AALEnter","A",799
"26",1,26,"kleiderschrank","Aufbewahrung","Möbel",2,NA,"S",1399
"27",1,27,"kutsche","Strasse","Fortbewegungsmittel",2,"HARANBackspaceBackspaceBackspaceBackspaceBackspaceKUSCHEEnter","H",NA
"28",1,28,"delfin","Fische","Tiere",3,"DELFINEnter","D",1181
"29",1,29,"zigarette","Filler","Filler",2,"ZIGARETTEEnter","Z",1267
"30",1,30,"motorrad","Strasse","Fortbewegungsmittel",3,"MOTORRADEnter","M",1054
"31",1,31,"regal","Aufbewahrung","Möbel",3,"REGALEnter","R",1046
"32",1,32,"puppe","Filler","Filler",3,"PUPPEEnter","P",1174
"33",1,33,"lkw","Strasse","Fortbewegungsmittel",4,"LKWEnter","L",2443
